,2015,2016,2017,2018
costOfRevenue,140089000000.0,131376000000.0,141048000000.0,163756000000.0
discontinuedOperations,,,,
ebit,71230000000.0,60024000000.0,61344000000.0,70898000000.0
effectOfAccountingCharges,,,,
extraordinaryItems,,,,
grossProfit,93626000000.0,84263000000.0,88186000000.0,101839000000.0
incomeBeforeTax,72515000000.0,61372000000.0,64089000000.0,72903000000.0
incomeTaxExpense,19121000000.0,15685000000.0,15738000000.0,13372000000.0
interestExpense,-733000000.0,-1456000000.0,-2323000000.0,-3240000000.0
minorityInterest,,,,
netIncome,53394000000.0,45687000000.0,48351000000.0,59531000000.0
netIncomeApplicableToCommonShares,53394000000.0,45687000000.0,48351000000.0,59531000000.0
netIncomeFromContinuingOps,53394000000.0,45687000000.0,48351000000.0,59531000000.0
nonRecurring,,,,
operatingIncome,71230000000.0,60024000000.0,61344000000.0,70898000000.0
otherItems,,,,
otherOperatingExpenses,,,,
researchDevelopment,8067000000.0,10045000000.0,11581000000.0,14236000000.0
sellingGeneralAdministrative,14329000000.0,14194000000.0,15261000000.0,16705000000.0
totalOperatingExpenses,162485000000.0,155615000000.0,167890000000.0,194697000000.0
totalOtherIncomeExpenseNet,1285000000.0,1348000000.0,2745000000.0,2005000000.0
totalRevenue,233715000000.0,215639000000.0,229234000000.0,265595000000.0
