,year,2016,2017,2018,2019
0,revenue,215639000000.0,229234000000.0,265595000000.0,
1,total expenses,183261000000.0,196108000000.0,222212000000.0,
2,operating expenses,155615000000.0,167890000000.0,194697000000.0,
3,liquid assets,67155000000.0,74181000000.0,66301000000.0,
4,total debt,78927000000.0,103703000000.0,102519000000.0,
5,tax,15685000000.0,15738000000.0,13372000000.0,
6,interest,-1456000000.0,-2323000000.0,-3240000000.0,
7,depreciation,10505000000.0,10157000000.0,10903000000.0,
8,cost of revenue,131376000000.0,141048000000.0,163756000000.0,
9,total receivables,29299000000.0,35673000000.0,48995000000.0,
10,total liabilities,193437000000.0,241272000000.0,258578000000.0,
11,total assets,321686000000.0,375319000000.0,365725000000.0,
12,total capital,207176000000.0,237750000000.0,209666000000.0,
13,total equity,128249000000.0,134047000000.0,107147000000.0,
14,capital expenditures,128249000000.0,134047000000.0,107147000000.0,
15,net income,45687000000.0,48351000000.0,59531000000.0,
16,gross profit,84263000000.0,88186000000.0,101839000000.0,
17,ebit,60024000000.0,61344000000.0,70898000000.0,
18,ebitda,73333000000.0,76569000000.0,87046000000.0,
19,quick ratio,0.498632629745085,0.4553118472097881,0.4458848007177718,
20,income from continuing operations margin,0.27835410106706115,0.2676042820872994,0.26694026619477024,
21,net margin,0.211867983064288,0.21092420845075338,0.22414202074587247,
22,return on assets,0.14929635917134917,0.1387393203779026,0.160667922552507,
23,return on capital,0.20407089412693888,0.17923699671406032,0.2503684266990899,
24,return on equity,0.46802704114651966,0.45763053257439557,0.661689081355521,
25,cash flow operations,60024000000.0,61344000000.0,70898000000.0,
26,free cash flow,71811600000.0,72285050000.0,81651400000.0,
27,gross profit margin,0.3907595564809705,0.38469860491899105,0.38343718820007905,
28,operating profit margin,0.27835410106706115,0.2676042820872994,0.26694026619477024,
29,net profit margin,0.211867983064288,0.21092420845075338,0.22414202074587247,
