,2016,2017,2018,2019
accountsPayable,15971400000.0,21931020000.0,21340160000.0,15796600000
cash,5555590000.0,1479530000.0,5526290000.0,6704300000
commonStock,1326130000.0,1326130000.0,1326130000.0,1326100000
deferredLongTermAssetCharges,11600000.0,,4000000.0,3000000
intangibleAssets,120080000.0,144360000.0,140290000.0,110100000
inventory,12931920000.0,17646590000.0,15118570000.0,22227600000
longTermDebt,18476370000.0,15214530000.0,12717290000.0,10777600000
longTermInvestments,2844410000.0,2206400000.0,1524760000.0,1580200000
minorityInterest,1316890000.0,1135390000.0,566120000.0,-50700000
netReceivables,15455060000.0,15417750000.0,14029520000.0,11811700000
netTangibleAssets,27864170000.0,27945330000.0,28395340000.0,27866300000
otherAssets,2694250000.0,3423000000.0,3569030000.0,2765600000
otherCurrentAssets,1818230000.0,3265260000.0,3064480000.0,16372700000
otherCurrentLiab,4466410000.0,4019450000.0,4402580000.0,21921200000
otherLiab,9349550000.0,7809660000.0,7481460000.0,3829200000
otherStockholderEquity,1426850000.0,1950730000.0,742600000.0,26650300000
propertyPlantEquipment,37524200000.0,33730990000.0,30470490000.0,15982700000
shortTermInvestments,,,,4445400000
totalAssets,86384650000.0,82469330000.0,76933170000.0,82000300000
totalCurrentAssets,43197030000.0,42959900000.0,41223920000.0,61561700000
totalCurrentLiabilities,29252910000.0,30215380000.0,27627990000.0,39467800000
totalLiab,57078830000.0,53239570000.0,47826740000.0,54074600000
totalStockholderEquity,27988930000.0,28094370000.0,28540310000.0,27976400000
treasuryStock,1426850000.0,1950730000.0,742600000.0,26650300000
