,2016,2017,2018,2019
costOfRevenue,44964040000.0,40904180000.0,53337840000.0,62767500000.0
discontinuedOperations,-814900000.0,-814900000.0,-814900000.0,-814900000.0
ebit,5306430000.0,1286440000.0,3518280000.0,6121700000.0
effectOfAccountingCharges,,,,
extraordinaryItems,,,,
grossProfit,25658820000.0,15962590000.0,19718900000.0,23983100000.0
incomeBeforeTax,2584990000.0,359190000.0,1641980000.0,1821000000.0
incomeTaxExpense,792200000.0,258040000.0,111890000.0,1222500000.0
interestExpense,-2078880000.0,-2129850000.0,-1660650000.0,-1773700000.0
minorityInterest,1316890000.0,1135390000.0,566120000.0,-50700000.0
netIncome,1518120000.0,264250000.0,1583030000.0,-132500000.0
netIncomeApplicableToCommonShares,1518120000.0,264250000.0,1583030000.0,-132500000.0
netIncomeFromContinuingOps,1792790000.0,101150000.0,1530090000.0,598500000.0
nonRecurring,,,,
operatingIncome,5306430000.0,1286440000.0,3518280000.0,6121700000.0
otherItems,,,,
otherOperatingExpenses,10558920000.0,6278900000.0,7879500000.0,9544500000.0
researchDevelopment,,,,
sellingGeneralAdministrative,5928680000.0,4536450000.0,4525840000.0,5719600000.0
totalOperatingExpenses,65316430000.0,55580330000.0,69538460000.0,80628900000.0
totalOtherIncomeExpenseNet,-2721440000.0,-927250000.0,-1876300000.0,-4300700000.0
totalRevenue,70622860000.0,56866770000.0,73056740000.0,86750600000.0
