,2016,2017,2018,2019
costOfRevenue,356724000000.0,391544000000.0,385575000000.0,413033000000.0
discontinuedOperations,,,,
ebit,92993000000.0,89076000000.0,83449000000.0,93189000000.0
effectOfAccountingCharges,,,,
extraordinaryItems,,,,
grossProfit,155716000000.0,158858000000.0,159296000000.0,172812000000.0
incomeBeforeTax,114933000000.0,110356000000.0,102474000000.0,115415000000.0
incomeTaxExpense,25366000000.0,25213000000.0,22390000000.0,25242000000.0
interestExpense,-1206000000.0,-2675000000.0,-3451000000.0,-5616000000.0
minorityInterest,2212000000.0,2391000000.0,2410000000.0,2637000000.0
netIncome,89075000000.0,84895000000.0,80081000000.0,90031000000.0
netIncomeApplicableToCommonShares,89075000000.0,84895000000.0,80081000000.0,90031000000.0
netIncomeFromContinuingOps,89567000000.0,85143000000.0,80084000000.0,90173000000.0
nonRecurring,,,,
operatingIncome,92993000000.0,89076000000.0,83449000000.0,93189000000.0
otherItems,,,,
otherOperatingExpenses,,,,
researchDevelopment,,,,
sellingGeneralAdministrative,62723000000.0,69782000000.0,75847000000.0,79623000000.0
totalOperatingExpenses,419447000000.0,461326000000.0,461422000000.0,492656000000.0
totalOtherIncomeExpenseNet,21940000000.0,21280000000.0,19025000000.0,22226000000.0
totalRevenue,512440000000.0,550402000000.0,544871000000.0,585845000000.0
