,year,2016,2017,2018,2019
0,revenue,512440000000.0,550402000000.0,544871000000.0,585845000000.0
1,total expenses,460984000000.0,509265000000.0,507744000000.0,540670000000.0
2,operating expenses,419447000000.0,461326000000.0,461422000000.0,492656000000.0
3,liquid assets,169923000000.0,98751000000.0,72513000000.0,365285000000.0
4,total debt,13591000000.0,17390000000.0,54688000000.0,99463000000.0
5,tax,25366000000.0,25213000000.0,22390000000.0,25242000000.0
6,interest,-1206000000.0,-2675000000.0,-3451000000.0,-5616000000.0
7,depreciation,14965000000.0,20051000000.0,20481000000.0,17156000000.0
8,cost of revenue,356724000000.0,391544000000.0,385575000000.0,413033000000.0
9,total receivables,164001000000.0,153948000000.0,152706000000.0,160241000000.0
10,total liabilities,256619000000.0,270821000000.0,275294000000.0,262418000000.0
11,total assets,724003000000.0,793516000000.0,760640000000.0,833171000000.0
12,total capital,478763000000.0,537694000000.0,537624000000.0,667579000000.0
13,total equity,467384000000.0,522695000000.0,485346000000.0,570753000000.0
14,capital expenditures,467384000000.0,522695000000.0,485346000000.0,570753000000.0
15,net income,89075000000.0,84895000000.0,80081000000.0,90031000000.0
16,gross profit,155716000000.0,158858000000.0,159296000000.0,172812000000.0
17,ebit,92993000000.0,89076000000.0,83449000000.0,93189000000.0
18,ebitda,130612000000.0,132834000000.0,126403000000.0,138045000000.0
19,quick ratio,1.3012442570503353,0.9330849527916963,0.8181035547451089,2.0026293928007988
20,income from continuing operations margin,0.18147100148310047,0.16183807471629827,0.1531536822477247,0.15906767148307147
21,net margin,0.173825228319413,0.15424180871435786,0.14697240264209327,0.15367716716879037
22,return on assets,,0.11188657275460802,0.10305400487467152,0.11297575433975547
23,return on capital,,0.11392395349729502,0.12261435221952947,0.12216914494902519
24,return on equity,0.19896487684644745,0.17041678225351303,0.1719371335088782,0.1632737804269097
25,cash flow operations,92993000000.0,89076000000.0,83449000000.0,93189000000.0
26,free cash flow,106160100000.0,108190250000.0,102592710000.0,111533360000.0
27,gross profit margin,0.30387167278120364,0.2886217709964717,0.2923554382596982,0.2949790473589431
28,operating profit margin,0.18147100148310047,0.16183807471629827,0.1531536822477247,0.15906767148307147
29,net profit margin,0.173825228319413,0.15424180871435786,0.14697240264209327,0.15367716716879037
