,2016,2017,2018,2019
accountsPayable,1117041801000,1428574438000,2006886036000,2275579027000
capitalSurplus,49462165000,98679248000,100058339000,100987679000
cash,24297983000,54197917000,27497767000,79895690000
commonStock,4205316000,4564858000,4605934000,4630066000
deferredLongTermAssetCharges,4776722000,6036409000,8762413000,25374714000
inventory,452030000,427230000,364790000,353000000
longTermDebt,215184600000,240026840000,535873880000,766429260000
longTermInvestments,487884656000,499817983000,682934387000,893285327000
netTangibleAssets,137623808000,220396303000,257525072000,268874101000
otherAssets,1057558679000,1425957784000,2158395529000,2592864510000
otherCurrentAssets,73233616000,85794635000,134921450000,145588536000
otherCurrentLiab,3169468000,5925696000,9151490000,3913805000
otherLiab,64941891000,94847722000,80065480000,138542027000
otherStockholderEquity,2778755000,3664381000,4305910000,6122549000
propertyPlantEquipment,4745752000,6867947000,8372959000,8298874000
retainedEarnings,81177572000,113487816000,148554889000,157133807000
shortLongTermDebt,101405169000,146039890000,213061928000,317811829000
shortTermInvestments,4253505000,77533403000,112009654000,88310160000
totalAssets,1652426221000,2150596899000,3124496536000,3808596097000
totalCurrentAssets,102237134000,217953185000,274793661000,314147386000
totalCurrentLiabilities,1234675922000,1595326034000,2251032104000,2634750709000
totalLiab,1514802413000,1930200596000,2866971464000,3539721996000
totalStockholderEquity,137623808000,220396303000,257525072000,268874101000
treasuryStock,2778755000,3664381000,4305910000,6122549000
