,2016,2017,2018,2019
costOfRevenue,0.0,0.0,0.0,0.0
discontinuedOperations,,,,
ebit,0.0,0.0,0.0,0.0
effectOfAccountingCharges,,,,
extraordinaryItems,,,,
grossProfit,67611538000.0,92220781000.0,114780766000.0,87104200000.0
incomeBeforeTax,37561198000.0,50534704000.0,62045363000.0,23490100000.0
incomeTaxExpense,12264311000.0,17135848000.0,19713163000.0,6397400000.0
interestExpense,,,,
minorityInterest,,,,
netIncome,25296887000.0,33398856000.0,42332200000.0,17092700000.0
netIncomeApplicableToCommonShares,25296887000.0,33398856000.0,42332200000.0,17092700000.0
netIncomeFromContinuingOps,25296887000.0,33398856000.0,42332200000.0,17092700000.0
nonRecurring,,,,
operatingIncome,37561198000.0,50534704000.0,62045363000.0,23490100000.0
otherItems,,,,
otherOperatingExpenses,10110024000.0,14484706000.0,19575688000.0,38233000000.0
researchDevelopment,,,,
sellingGeneralAdministrative,19940316000.0,27201371000.0,33159715000.0,25381100000.0
totalOperatingExpenses,30050340000.0,41686077000.0,52735403000.0,63614100000.0
totalOtherIncomeExpenseNet,0.0,0.0,0.0,0.0
totalRevenue,67611538000.0,92220781000.0,114780766000.0,87104200000.0
